Player,Hold_Count,sRE24,sTmRDiff,aTmRDiff,a_aLI,sIR,aIR,TmRS,sWPA,aWPA,sIP,aIP,sH,aH,sR,aR,sER,aER,sUER,aUER,sHR,aHR,sBB,aBB,sIBB,aIBB,s_SO,aSO,sHBP,aHBP,sBK,aBK,sWP,aWP,sBF,aBF,sBR,aBR,sIS,aIS,Hold_n_Loss,5+_Holds,Team,BONUS,ERA,FIP,K/9,BB/9,BAA,OBP,WHIP,RA9,Team_Sit_Player,SV,BS,MY_STATs_FINALLY,xHOLDS,is_xHolds_M/L_Holds,Teams_Holds,Better_xHolds,player_id
Brandyn Garcia,2,0.59,4,2,2.645,0,0,,0.009,0.0045,1  1/3 ,  2/3 ,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,4,4,2,0,0,0,FALSE,ARI,,0,0.135,0.222222222,0,0.5,0.5,3,0,159,0,0,,1.874213836,FALSE,88,1.932918239,805299
Ryan Thompson,17,2.87,18,1.058823529,2.043529412,12,0.705882353,,0.511,0.030058824,12  1/3 , 37/51,11,0.647058824,4,0.235294118,2,0.117647059,2,0.117647059,0,0,7,0.411764706,0,0,10,0.588235294,1,0.058823529,0,0,0,0,53,3.117647059,19,1.117647059,2,0.117647059,0,TRUE,ARI,,1.459459459,3 17/37,1.111111111,0.777777778,0.20754717,0.358490566,1.459459459,2.918918919,159,1,3,,15.93081761,FALSE,88,16.42980503,657044
Jalen Beeks,14,5.44,20,1.428571429,1.946428571,7,0.5,,0.938,0.067,10  2/3 , 16/21,7,0.5,1,0.071428571,1,0.071428571,0,0,0,0,2,0.142857143,0,0,8,0.571428571,0,0,0,0,0,0,40,2.857142857,9,0.642857143,1,0.071428571,0,TRUE,ARI,,0.84375,2.1975,0.888888889,0.222222222,0.175,0.225,0.84375,0.84375,159,1,2,,13.11949686,FALSE,88,13.53042767,656222
Anthony DeSclafani,1,-1.24,2,2,1.81,0,0,,-0.147,-0.147,2  2/3 ,2  2/3 ,3,3,2,2,2,2,0,0,2,2,1,1,0,0,3,3,0,0,0,0,0,0,13,13,5,5,0,0,0,FALSE,ARI,,6.75,11.76,0.333333333,0.111111111,0.230769231,0.307692308,1.5,6.75,159,2,0,,0.937106918,FALSE,88,0.966459119,543101
Jake Woodford,2,0.12,3,1.5,1.735,0,0,,-0.041,-0.0205,1  1/3 ,  2/3 ,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,6,3,1,0.5,0,0,0,FALSE,ARI,,0,1.635,0.111111111,0,0.166666667,0.166666667,0.75,0,159,3,4,,1.874213836,FALSE,88,1.932918239,663765
Andrew Saalfrank,5,0.17,12,2.4,1.652,3,0.6,,0.278,0.0556,5  1/3 ,1  1/15,4,0.8,1,0.2,1,0.2,0,0,0,0,1,0.2,0,0,4,0.8,0,0,0,0,0,0,21,4.2,5,1,3,0.6,0,TRUE,ARI,,1.6875,2.1975,0.444444444,0.111111111,0.19047619,0.238095238,0.9375,1.6875,159,3,2,,4.685534591,FALSE,88,4.832295597,685314
John Curtiss,3,0.8,3,1,1.42,2,0.666666667,,0.156,0.052,2  1/3 ,  7/9 ,1,0.333333333,1,0.333333333,1,0.333333333,0,0,1,0.333333333,0,0,0,0,1,0.333333333,0,0,0,0,0,0,7,2.333333333,1,0.333333333,0,0,0,FALSE,ARI,,3.857142857,7.849285714,0.111111111,0,0.142857143,0.142857143,0.428571429,3.857142857,159,1,0,,2.811320755,FALSE,88,2.899377358,595928
Kyle Backhus,10,0.48,5,0.5,2.312,6,0.6,,0.294,0.0294,7  2/3 , 23/30,7,0.7,4,0.4,3,0.3,1,0.1,1,0.1,4,0.4,0,0,6,0.6,0,0,0,0,0,0,35,3.5,12,1.2,0,0,0,TRUE,ARI,,3.52173913,4.830652174,0.666666667,0.444444444,0.2,0.314285714,1.434782609,4.695652174,159,2,2,,9.371069182,FALSE,88,9.664591195,679775
Bryce Jarvis,1,0.27,5,5,1.49,0,0,,0.031,0.031,  2/3 ,  2/3 ,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3,1,1,0,0,0,FALSE,ARI,,13.5,0.135,0.111111111,0,0.333333333,0.333333333,1.5,13.5,159,1,0,,0.937106918,FALSE,88,0.966459119,686826
Juan Burgos,3,0.32,1,0.333333333,2.096666667,3,1,,0.093,0.031,2  2/3 ,  8/9 ,3,1,1,0.333333333,1,0.333333333,0,0,1,0.333333333,0,0,0,0,1,0.333333333,0,0,0,0,0,0,11,3.666666667,4,1.333333333,0,0,0,FALSE,ARI,,3.375,7.26,0.111111111,0,0.272727273,0.272727273,1.125,3.375,159,0,1,,2.811320755,FALSE,88,2.899377358,686228
Andrew Hoffmann,3,-2.86,2,0.666666667,1.626666667,2,0.666666667,,-0.484,-0.161333333,2  1/3 ,  7/9 ,4,1.333333333,5,1.666666667,5,1.666666667,0,0,0,0,3,1,0,0,3,1,0,0,0,0,0,0,14,4.666666667,7,2.333333333,0,0,1,FALSE,ARI,,19.28571429,4.420714286,0.333333333,0.333333333,0.285714286,0.5,3,19.28571429,159,0,2,,2.811320755,FALSE,88,2.899377358,694851
Kendall Graveman,1,0.51,2,2,1.26,0,0,,0.089,0.089,1      ,1      ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,4,4,1,1,0,0,0,FALSE,ARI,,0,2.135,0.222222222,0.111111111,0,0.25,1,0,159,0,0,,0.937106918,FALSE,88,0.966459119,608665
Kevin Ginkel,6,0.69,2,0.333333333,2.333333333,3,0.5,,0.313,0.052166667,4  1/3 , 13/18,3,0.5,2,0.333333333,2,0.333333333,0,0,1,0.166666667,4,0.666666667,0,0,8,1.333333333,0,0,0,0,1,0.166666667,20,3.333333333,8,1.333333333,0,0,0,TRUE,ARI,,4.153846154,5.211923077,0.888888889,0.444444444,0.15,0.35,1.615384615,4.153846154,159,3,1,,5.622641509,FALSE,88,5.798754717,656464
Juan Morillo,5,2.91,7,1.4,1.956,2,0.4,,0.411,0.0822,4  1/3 , 13/15,2,0.4,0,0,0,0,0,0,0,0,4,0.8,0,0,5,1,0,0,0,0,1,0.2,17,3.4,6,1.2,0,0,0,TRUE,ARI,,0,3.596538462,0.555555556,0.444444444,0.117647059,0.352941176,1.384615385,0,159,1,1,,4.685534591,FALSE,88,4.832295597,666661
Tayler Scott,3,0.1,8,2.666666667,2.22,0,0,,-0.092,-0.030666667,2  1/3 ,  7/9 ,0,0,2,0.666666667,2,0.666666667,0,0,0,0,4,1.333333333,0,0,3,1,0,0,0,0,0,0,11,3.666666667,4,1.333333333,0,0,1,FALSE,ARI,,7.714285714,5.706428571,0.333333333,0.444444444,0,0.363636364,1.714285714,7.714285714,159,0,1,,2.811320755,FALSE,88,2.899377358,605463
Shelby Miller,9,4.55,13,1.444444444,2.12,4,0.444444444,,0.91,0.101111111,9      ,1      ,5,0.555555556,0,0,0,0,0,0,0,0,2,0.222222222,0,0,10,1.111111111,1,0.111111111,0,0,0,0,34,3.777777778,8,0.888888889,2,0.222222222,0,TRUE,ARI,,0,1.912777778,1.111111111,0.222222222,0.147058824,0.235294118,0.777777778,0,159,10,5,,8.433962264,FALSE,88,8.698132075,571946
Justin Martínez,4,3.15,12,3,2.06,6,1.5,,0.308,0.077,3  1/3 ,  5/6 ,0,0,0,0,0,0,0,0,0,0,1,0.25,0,0,7,1.75,0,0,0,0,0,0,11,2.75,1,0.25,1,0.25,0,FALSE,ARI,,0,-0.165,0.777777778,0.111111111,0,0.090909091,0.3,0,159,5,1,,3.748427673,FALSE,88,3.865836478,679885
A.J. Puk,2,1.01,3,1.5,2.13,0,0,,0.208,0.104,2      ,1      ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,8,4,2,1,0,0,0,FALSE,ARI,,0,1.135,0.222222222,0,0.25,0.25,1,0,159,4,0,,1.874213836,FALSE,88,1.932918239,640462
Tyler Kinley,14,3.77,30,2.142857143,1.687142857,4,0.285714286,,0.998,0.071285714,12  2/3 , 19/21,8,0.571428571,2,0.142857143,2,0.142857143,0,0,1,0.071428571,4,0.285714286,0,0,11,0.785714286,0,0,1,0.071428571,1,0.071428571,51,3.642857143,13,0.928571429,2,0.142857143,0,TRUE,ATL,,1.421052632,3.371842105,1.222222222,0.444444444,0.156862745,0.235294118,0.947368421,1.421052632,128,3,3,,16.296875,TRUE,73,16.80732813,641755
Dylan Lee,19,7.09,39,2.052631579,1.391052632,7,0.368421053,,1.375,0.072368421,18      , 18/19,12,0.631578947,3,0.157894737,3,0.157894737,0,0,3,0.157894737,0,0,0,0,25,1.315789474,0,0,0,0,0,0,65,3.421052632,12,0.631578947,0,0,0,TRUE,ATL,,1.5,2.523888889,2.777777778,0,0.184615385,0.184615385,0.666666667,1.5,128,2,7,,22.1171875,TRUE,73,22.80994531,669276
Joel Payamps,4,-1.27,7,1.75,1.7,3,0.75,,0.083,0.02075,3      ,  3/4 ,4,1,1,0.25,1,0.25,0,0,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,12,3,4,1,3,0.75,0,FALSE,ATL,,3,1.801666667,0.222222222,0,0.333333333,0.333333333,1.333333333,3,128,1,0,,4.65625,TRUE,73,4.80209375,606303
Hunter Stratton,3,1.23,10,3.333333333,3.42,2,0.666666667,,0.167,0.055666667,2      ,  2/3 ,1,0.333333333,2,0.666666667,1,0.333333333,1,0.333333333,0,0,1,0.333333333,0,0,3,1,1,0.333333333,0,0,0,0,8,2.666666667,3,1,0,0,1,FALSE,ATL,,4.5,3.135,0.333333333,0.111111111,0.125,0.375,1,9,128,1,1,,3.4921875,TRUE,73,3.601570313,676702
Pierce Johnson,16,6.83,33,2.0625,1.93,9,0.5625,,1.233,0.0770625,14      ,  7/8 ,7,0.4375,1,0.0625,1,0.0625,0,0,1,0.0625,8,0.5,1,0.0625,11,0.6875,0,0,0,0,1,0.0625,54,3.375,15,0.9375,2,0.125,0,TRUE,ATL,,0.642857143,4.206428571,1.222222222,0.888888889,0.12962963,0.277777778,1.071428571,0.642857143,128,1,3,,18.625,TRUE,73,19.208375,572955
José Suarez,1,0.51,4,4,0.72,0,0,,0.055,0.055,1      ,1      ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,FALSE,ATL,,0,3.135,0,0,0,0,0,0,128,1,0,,1.1640625,TRUE,73,1.200523438,660761
Dylan Dodd,2,-0.15,14,7,1.94,1,0.5,,-0.026,-0.013,1      ,  1/2 ,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,5,2.5,2,1,0,0,0,FALSE,ATL,,0,1.135,0.111111111,0,0.4,0.4,2,0,128,0,1,,2.328125,TRUE,73,2.401046875,689266
Daysbel Hernández,10,3.77,19,1.9,1.959,3,0.3,,0.821,0.0821,9  2/3 , 29/30,5,0.5,3,0.3,3,0.3,0,0,0,0,5,0.5,0,0,5,0.5,1,0.1,0,0,0,0,38,3.8,11,1.1,0,0,0,TRUE,ATL,,2.793103448,3.962586207,0.555555556,0.555555556,0.131578947,0.289473684,1.034482759,2.793103448,128,0,2,,11.640625,TRUE,73,12.00523438,678226
Aaron Bummer,2,-1.05,1,0.5,1.16,0,0,,-0.073,-0.0365,2  1/3 ,1  1/6 ,5,2.5,3,1.5,1,0.5,2,1,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,11,5.5,5,2.5,0,0,0,FALSE,ATL,,3.857142857,2.277857143,0.111111111,0,0.454545455,0.454545455,2.142857143,11.57142857,128,0,0,,2.328125,TRUE,73,2.401046875,607481
